case_num,pit_gain,p_shoe,sbp_dyn_control,sbp_shut_in
100,1.3954939,11237.77,805.7595,1319.772
10,2.9866825,11309.14,873.4662,1366.485
11,4.438101,11364.21,880.5408,1412.223
12,2.4718638,11276.12,802.6815,1336.786
13,1.80346035,11259.53,785.2843,1318.469
14,5.372672,11256.84,821.8836,1345.314
15,2.772267,11247.53,764.3174,1309.328
16,2.5887711,11282.75,824.7994,1348.863
17,7.835369,11277.87,826.5913,1375.197
18,3.208007,11213.61,815.0008,1301.872
19,1.4000207,11325.1,837.0268,1380.481
1,4.428071,11234.44,794.5355,1325.894
20,3.979907,11284.76,849.7176,1369.383
21,5.450819,11178.18,754.3308,1274.434
22,3.261082,11347.19,877.8126,1395.561
23,3.854208,11343.13,876.5396,1395.417
24,4.722176,11333.76,836.5892,1380.366
25,2.05922395,11354.25,890.5521,1407.112
26,4.553654,11192.38,759.8498,1283.357
27,5.473559,11252.61,806.6863,1342.228
28,2.605504,11280.56,811.7157,1361.691
29,2.0682842,11348.8,866.054,1426.67
2,4.323293,11196.29,762.0789,1289.315
30,1.547106,11330.45,853.9804,1384.373
31,3.3833016,11298.46,856.9856,1355.271
32,2.2578957,11297.68,789.6723,1341.583
33,3.709139,11342.97,874.6128,1393.441
34,8.90846,11202.19,798.0973,1297.297
35,2.8894262,11342.88,867.7649,1382.254
36,4.507189,11291.6,874.6262,1376.967
37,3.621334,11354.06,857.3126,1392.574
38,5.05708,11370.56,928.4056,1456.479
39,4.24953,11292.6,825.2187,1373.82
3,3.2424128,11415.97,967.7841,1462.377
40,3.419952,11285.69,834.2791,1346.378
41,7.333219,11299.17,849.9263,1387.669
42,2.374893,11341.26,842.0722,1397.911
43,3.666663,11290,802.8097,1348.248
44,3.048339,11378.62,894.4931,1426.765
45,2.0739904,11240.97,769.9449,1300.8
46,3.972064,11187.37,757.9825,1287.36
47,2.399068,11281.24,799.9984,1336.108
48,6.473448,11259.43,828.8613,1352.139
49,4.25183,11341.86,878.0421,1395.454
4,5.42962,11250.81,792.332,1330.357
50,2.652464,11369.81,899.3378,1426.983
51,4.760448,11362.46,868.0002,1396.323
52,3.186245,11317.81,816.904,1374.444
53,2.9982402,11392.18,939.1225,1440.801
54,2.08582855,11248.68,821.0664,1334.41
55,4.750584,11317.85,858.6872,1371.915
56,7.240273,11346.54,837.4041,1382.181
57,5.391672,11332.73,868.1155,1387.152
58,1.4969885,11321.33,844.5824,1375.689
59,3.05927,11290.77,789.3111,1338.797
5,2.896256,11265.88,824.7793,1355.325
60,3.767027,11296.83,796.6513,1343.138
61,4.535492,11236.33,791.9551,1315.71
62,7.128248,11296.89,877.091,1379.178
63,1.8867007,11327.9,828.3358,1373.678
64,1.6605753,11341.78,892.7511,1408.607
65,8.14626,11232.15,822.3632,1323.285
66,1.2321597,11266.86,771.8801,1316.735
67,2.4389765,11299.59,883.8812,1389.107
68,2.916889,11281.7,830.1598,1341
69,1.6840894,11302.08,890.2153,1390.257
6,1.313111,11240.57,801.98,1296.206
70,4.68385,11227.23,783.2188,1313.85
71,1.7666395,11309.93,821.0106,1368.511
72,2.1234411,11289.4,830.8408,1348.651
73,1.8270984,11258.86,780.5214,1315.532
74,2.4833655,11290.92,830.6184,1346.628
75,5.06751,11192.95,788.4154,1287.987
76,2.5252486,11283.98,809.427,1345.384
77,4.220325,11239.74,800.3074,1330.249
78,4.758594,11307.41,797.7204,1363.181
79,5.289548,11244.24,811.9247,1336.076
7,4.439149,11302.43,840.2354,1359.772
80,3.768807,11275.31,810.8229,1367.686
81,2.626463,11407.1,887.3528,1453.465
82,1.7552196,11276.38,826.7053,1336.481
83,3.248774,11303.86,802.4592,1350.999
84,2.793948,11263.36,813.4243,1347.679
85,1.9609883,11295.33,828.2852,1342.783
86,4.38759,11332.03,848.3005,1382.78
87,2.65798149,11279.41,872.7598,1366.97
88,3.820114,11316.06,832.865,1372.038
89,4.646373,11261.17,792.6085,1322.247
8,2.990084,11365.51,867.9596,1399.775
90,2.2471123,11402.91,898.3604,1436.23
91,4.46364,11315.21,872.7403,1402.665
92,2.804302,11338.99,875.9248,1418.383
93,1.3041197,11301.77,840.1335,1359.594
94,3.6040387,11337.38,889.2049,1379.778
95,1.9499491,11294.46,845.5359,1358.569
96,4.900137,11366.41,852.5137,1401.658
97,2.471008,11283.84,789.5032,1342.468
98,2.846811,11218.94,769.8309,1313.22
99,3.099148,11383.43,905.8649,1420.066
9,1.3465304,11227.07,796.0222,1301.981
