case_num,pit_gain,p_shoe,sbp_dyn_control,sbp_shut_in,bhp_dyn_control,bhp_static_control
100,5.2054676,5321.973,746.0028,783.7514,6894.651,6889.662
10,4.070233,5350.632,773.4431,811.3373,6923.917,6917.436
11,13.69696,5344.905,760.0716,801.9667,6895.883,6977.642
12,3.545711,5349.448,772.3532,810.2224,6922.753,6916.456
13,12.219837,5337.304,760.1459,797.886,6909.926,6903.936
14,2.330147,5380.625,788.982,824.0347,6938.387,6972.374
15,4.5241255,5254.598,700.1576,737.6161,6846.616,6842.861
16,28.941544,5257.192,685.7538,722.7107,6807.756,6725.742
17,2.301569,5318.554,742.698,779.8225,6891.112,6921.72
18,17.80806,5322.711,769.4933,806.842,6919.723,6909.743
19,6.027073,5365.492,787.9726,825.8407,6939.058,6932.711
1,2.685863,5265.048,710.5724,747.7474,6857.18,6853.478
20,1.529185,5265.491,692.1451,728.2405,6837.731,6866.186
21,2.821492,5269.688,713.746,751.849,6861.979,6857.65
22,4.2402805,5318.08,741.6636,779.4599,6891.085,6886.241
23,5.2312563,5347.544,771.1404,808.5939,6920.687,6915.207
24,11.019204,5302.82,749.858,787.6246,6899.348,6891.134
25,2.832636,5346.546,770.3833,807.7744,6919.623,6914.324
26,3.276945,5290.52,716.9188,753.3252,6863.566,6859.206
27,2.696058,5353.61,763.7925,801.6511,6912.626,6943.019
28,3.524765,5334.828,758.35,796.1961,6907.996,6903.378
29,2.180331,5272.783,684.0967,721.9413,6830.025,6860.106
2,2.706642,5308.845,734.3399,770.919,6881.875,6876.158
30,2.229152,5361.901,770.1681,807.7348,6919.724,6950.987
31,3.726728,5367.436,812.27,849.752,6963.511,6956.924
32,1.839978,5267.179,712.2083,749.7654,6859.001,6855.38
33,1.747941,5322.869,736.4862,773.3011,6883.732,6912.802
34,1.888812,5296.377,721.2584,758.0308,6868.45,6897.326
35,2.055186,5360.119,767.5358,805.371,6916.684,6951.083
36,4.285166,5274.155,718.1855,755.9452,6866.082,6862.328
37,4.5260457,5387.317,810.2093,847.172,6961.017,6953.029
38,5.4351771,5241.393,687.7075,724.3827,6833.428,6829.323
39,1.371863,5279.884,696.2844,733.073,6842.287,6867.558
3,1.389707,5278.231,694.5255,732.4933,6840.465,6872.006
40,6.31015,5353.229,776.1179,813.9491,6926.709,6920.364
41,9.038897,5360.934,783.1653,820.3708,6933.224,6938.578
42,1.489714,5332.575,754.8923,792.4416,6903.03,6937.444
43,12.010828,5323.904,770.2508,806.8787,6919.433,6912.258
44,3.696407,5326.275,750.0358,787.8517,6899.346,6894.588
45,1.63941,5347.97,756.4636,794.3753,6904.937,6938.898
46,4.8189802,5275.591,719.8617,757.6236,6867.578,6864.067
47,3.153538,5336.638,749.8843,786.861,6898.5,6926.457
48,2.095121,5282.618,697.9749,735.6,6844.281,6873.522
49,2.586523,5275.433,700.4931,737.6523,6847.847,6876.992
4,3.9704809,5326.457,750.837,788.1101,6899.38,6893.811
50,7.03397,5309.854,733.9203,771.7093,6883.077,6877.976
51,3.428738,5335.923,759.5709,797.3445,6908.758,6904.007
52,2.916715,5365.491,788.0187,825.8535,6938.613,6932.338
53,6.426583,5339.701,762.7937,800.6716,6913.146,6906.504
54,4.3922107,5341.035,764.2468,802.0998,6913.981,6909.023
55,16.510615,5341.568,765.9339,803.4809,6916.704,6908.779
56,4.034476,5352.921,775.7089,813.5898,6926.007,6919.543
57,1.935731,5356.815,763.3215,800.4357,6912.419,6947.538
58,5.1826034,5324.89,749.3643,786.503,6897.806,6892.025
59,1.807985,5326.17,734.4526,772.2789,6882.416,6916.981
5,2.664866,5321.687,768.7863,805.1365,6917.61,6910.572
60,3.395644,5384.956,796.0387,832.4015,6946.307,6979.524
61,4.0177344,5301.068,726.3828,763.5437,6873.678,6868.397
62,3.250852,5325.455,749.2655,787.082,6898.589,6893.946
63,4.4870168,5322.036,768.9601,805.7004,6917.986,6910.93
64,2.854284,5302.149,726.7125,764.5044,6874.742,6869.737
65,9.142621,5362.051,780.8417,818.5171,6931.219,6951.294
66,15.248184,5327.14,751.3262,788.8473,6900.998,6894.093
67,3.38483,5370.844,791.8168,829.2504,6941.938,6975.544
68,39.392035,5310.331,741.5125,780.2786,6883.786,6980.317
69,6.237572,5349.563,795.6174,831.8043,6945.683,6938.715
6,5.7335159,5292.28,718.1748,754.984,6865.081,6860.882
70,3.559743,5371.841,794.0868,831.9669,6945.558,6939.208
71,5.1273987,5332.093,755.9225,793.5319,6904.899,6899.871
72,2.29644,5294.815,708.8694,745.8804,6855.926,6883.735
73,6.509662,5312.737,736.8127,774.6124,6886.009,6880.94
74,2.327508,5320.466,729.4367,766.8282,6876.77,6911.527
75,4.8922996,5285.069,728.0147,766.3619,6877.627,6873.38
76,9.028266,5300.986,723.7322,761.5249,6872.338,6889.476
77,4.7390912,5253.644,680.398,718.2181,6827.091,6824.368
78,4.0223398,5365.863,788.3239,826.2409,6938.848,6932.7
79,2.155049,5332.112,745.5667,782.6857,6894.291,6921.984
7,6.364128,5316.34,741.8063,777.9499,6889.579,6883.689
80,3.347065,5347.076,755.3977,793.0241,6904.014,6938.702
81,5.8739916,5308.037,732.3611,770.1399,6881.08,6876.135
82,3.14422,5394.838,814.612,852.5433,6965.839,7000.116
83,3.616617,5405.012,810.5675,847.8586,6962.33,6996.355
84,3.797362,5397.799,803.6692,841.2053,6955.945,6989.362
85,2.602734,5342.104,762.9938,801.1001,6912.255,6947.139
86,3.910851,5344.98,768.0786,805.904,6918.162,6911.832
87,3.361303,5310.068,734.4822,772.2286,6882.584,6877.561
88,3.218508,5326.588,750.3112,788.1299,6899.64,6894.841
89,2.771297,5320.252,729.1043,766.6203,6876.523,6911.472
8,1.099298,5283.891,710.463,747.4535,6855.379,6884.398
90,14.380591,5298.73,729.5316,773.9289,6837.863,7133.638
91,2.007805,5350.685,773.7311,811.5302,6923.375,6917.098
92,3.166684,5275.826,703.8993,739.7393,6849.727,6845.213
93,7.983809,5299.052,723.0565,760.8346,6871.681,6866.524
94,2.589562,5276.883,721.835,759.192,6868.934,6865.315
95,3.763565,5335.468,758.985,796.8516,6908.322,6903.728
96,5.7699723,5344.9,767.9872,805.8264,6918.06,6911.612
97,5.9686576,5357.262,779.9696,817.8638,6930.344,6924.098
98,7.020816,5242.79,687.7889,725.4942,6834.504,6830.77
99,4.0340334,5276.622,721.4523,758.7453,6868.795,6865.049
9,7.029332,5307.106,731.1888,768.9855,6879.935,6874.734
